1759210_s_at	IG_1577367_1577656-f	14.56	17.67	18.3	17.64	22.92	36.43	18.7	19.5	22.89	17.78	11.67	15.43	17.57	17.26	12.19	3.984608	18.02	16.37
1759211_s_at	matA	600.44	656.66	591.7	596.16	640.37	621.88	674.7	823.98	1084.52	706.05	486.73	551.84	678.8	596.61	496.21	105.495179	678.47	619.69
1759212_s_at	yajD	3831.6	4076.76	4135.85	3604.03	3910.51	2929.14	3521.67	3166.56	3212.13	3478.23	3326.95	3556.54	3242.88	3380.39	3512.19	256.971328	3598.06	3611.73
1759213_s_at	c2225	84.3	96.38	83.22	166.83	245.59	160.73	94.59	107.19	113.51	422.11	249.7	340.64	71.62	97.19	97.84	96.877349	217.14	231.98
1759215_s_at	ecnA	52.55	46.61	50.98	21.68	24.26	27.85	21.77	21.78	21.46	18.08	16.14	16.63	31.52	26.82	29.5	12.185799	19.82	20.99
1759218_s_at	fruK	1356.96	1341.11	1372.4	7297.86	7843.56	5203.56	1098.47	1342.13	1535.5	1366.82	1118.32	1165.5	888.04	803.3	757.03	2344.016967	3873.38	2878.34
1759219_s_at	frdC	379.9	351.96	417.56	2264.65	1939.43	1527.7	367.27	381.31	350.11	4022.1	3536.08	3926.44	270.97	336.67	315.76	1384.664365	1757.45	2044.2
1759220_s_at	IG_2362317_2362573-f	7.09	7.93	5.16	8.08	8.59	8.28	8.03	9.67	13.25	9.19	5.17	8.09	5.69	7.77	7.52	1.903985	13.49	12
1759224_s_at	wcaE	16.25	16.49	16.22	15.72	16.29	20.89	24.9	30.09	30.19	41.91	30.44	43.34	229.5	207.13	414.86	106.252185	141.13	137.63
1759226_s_at	yhbG	4175.51	4361.61	3781.25	3102.73	3181.67	3832.37	2760.8	3030.07	3255.58	3267.34	2924.69	3035.17	3669.03	3691.52	3541.78	416.933436	3658.89	3179.6
1759227_s_at	yiiE	121.51	153.72	153.44	140.24	171.53	149.08	153.46	168.19	217.81	153.59	125.17	143.47	156.07	144.23	138.54	19.98862	201.43	180.21
